Unnamed: 0,id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count,detoxify_toxicity_score,detoxify_prediction,human_label
157968,435393,0.0,"If anyone else needs any good instances of crime by Caucasians since you only want to stereotype people by culture; I suggest you go over to the Carrs on Abbott and ask them the number 1 demographic stealing from their store.  

As a white couple was just recently stopped from taking 1000s of $ in groceries.  The stores losses after inventory for the past 6months has been $350,000.  I'm sorry to bust your bubbles but the faces on the security walls aren't of blacks, Samoans, or Mexicans.  

I'm all for hating crime; but to try and act like the only people stealing things are the minorities when the majority make up the greater part of Alaska (and the numbers are too staggering for minorities alone) than simply put your a racist, Or you're freaking blind. 

Obviously those of you with sour predispositions have never worked in LP before.  Perhaps you should apply!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.8333333333333333,2016-08-17 17:06:03.184696+00,21,,143807,approved,0,0,0,2,0,0.0,6,4,0.6431636,1,0
1198897,5581186,0.4848484848484849,"You lousy MSMocrats are grasping at straws. Dems had the biggest electoral loss in US history last election cycle. The next will be even bigger. You maggots turned a blind eye to all of the Kenyan's anti-American, unconstitutional treason for 8 FRIGGIN' years. Black jesus could do no wrong. So now you can shove your articles of impeachment where the sun don't shine.",0.0606060606060606,0.0909090909090909,0.1515151515151515,0.4393939393939393,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-12 20:04:58.695748+00,105,,354566,rejected,0,0,0,0,0,0.0151515151515151,10,66,0.88886666,1,0
1128054,5494378,0.3,He is excited about being gay i guess,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-28 22:03:12.611387+00,21,5494193.0,349653,approved,4,0,0,1,1,0.2,6,10,0.5424946,1,0
455247,802278,0.0,"By definition? I read the first post. What a load of BS.  Just because you a professor doesn't lend authority to a flawed arguement.  It's a big world - a small percentage of it is white. Racism comes in many forms and absolutely anyone can be racist.  It comes down to how you see people who are different than you. Not whether you are white, black or otherwise as a starting point.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-01-06 22:29:43.000888+00,54,802130.0,160433,approved,0,0,0,3,0,0.0,4,4,0.56633407,1,0
1416100,5849731,0.3,Real Housewives are proof that women should speak very little and wear even less.,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-27 15:41:55.968092+00,105,,371094,rejected,0,0,0,0,0,0.0,4,10,0.52829456,1,0
361900,686334,0.2,"and has a boyfriend! ""You tried to have your husband murdered and are suspected of murdering your 7-year-old step son? Come on, Baby, you're the girl for me!",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-09 20:17:09.591678+00,13,685130.0,155615,approved,1,0,0,0,0,0.0,10,10,0.8528911,1,0
1677072,6177782,0.4,"me too , I keep getting hurt by men who are married want to cheat on their wives and wants to have sex with me and he is my neighbor",0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-19 09:33:58.227409+00,13,,390810,approved,0,0,0,2,0,0.5,4,10,0.94034976,1,0
988386,5326706,0.0,"If you live in Toronto or Vancouver and you are claiming a lack of privilege, it is because your personal life sucks. The system here gives you far more advantages for having melanin in your skin, being aboriginal, or being a women. White men are severely disadvantaged - at least since 2009. The 1990s and 2000s it seemed good, we were blind to race and sex. Now the stigma of being white or colored or male or female is back and stronger than it has ever been in my life.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.8,2017-05-30 15:01:40.610678+00,54,5318501.0,338200,approved,0,0,0,0,0,0.0,10,4,0.6387762,1,0
742468,5029851,0.3,"What a hideously racist thing to say. First off, ANYONE who goes to an ER must receive treatment. This is not some immigrants to the front of the line BS. In what reality do you think these people working for pennies an hour are getting one over on you? Hate to burst your bubble, you xenophobic old fart, but Oregon is full of po' white folks who have been presenting to ERs with complications from diabetes, heart disease, infections, the flu and all manner of both preventable and often highly advanced (IE untreated until acute) illnesses and getting free treatment for years!  Jose and Maria Scapegoat are not your high utilizers--people who look just  like you are.  

This must feel like such an unfair world to you! Where dark folk and women don't know their proper place! I can only assume you take comfort in knowing Obama was never able to take yer guns and Trump is here to make all of your hateful dreams come true. Well, not on my watch. Just you wait, 2018 is a-coming partner.",0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,2017-03-20 18:31:07.120682+00,13,5027353.0,320661,approved,0,0,1,1,0,0.0,10,10,0.8199272,1,0
684041,1078393,0.4,This case is so gross!  Why would a lovely young woman want to have anything to do with a smelly old cabbie who doesn't even speak English and probably makes less than she does?,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-03-04 22:13:31.428717+00,54,,316689,rejected,0,0,0,0,0,0.0,10,10,0.5501354,1,0
1547004,6015308,0.3,Many who were Black.,0.1,0.0,0.3,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-24 22:52:34.683168+00,102,6014353.0,381463,approved,1,0,0,0,0,0.0,4,10,0.67137825,1,0
1028313,5374418,0.1666666666666666,"How about ""Women of the Alaska Bush Company?"" That would be more interesting than any of this other drivel. But more important, don't watch TV. Television is destroying this country. Shut it off!",0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-07 19:31:26.583275+00,21,,341734,approved,2,0,0,1,0,0.0,4,6,0.58964187,1,0
1804360,6333136,0.4,"Good point.  That brings rise to gays, lesbians, transvestites, and the ""X"" crowd.",0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,2017-11-10 22:37:41.806344+00,13,6332317.0,399463,approved,0,0,0,0,0,0.1,6,10,0.6150821,1,0
